people_ID,Infect_Prob
5942,52.4679531514565
18664,52.402800161183904
5603,52.55049056701672
5649,51.972562219726086
5099,51.61737115608075
18749,52.267186090601534
5228,52.0210291195215
5559,52.06810226183537
5220,52.51424256242558
5476,52.60905477629032
5260,51.97895342608678
17638,52.770081754448135
18635,51.811371067690956
18794,62.06150049461483
5263,52.09163585670041
17680,63.058521553270566
18030,52.07136335325785
18090,51.953371931483126
18455,51.80330059325418
18155,51.98547433160729
18116,61.28534874257014
18144,51.46308304076236
5218,58.89756748694131
5386,52.272644774509175
18105,51.68669548739311
5735,52.169048316543616
5900,51.92885998836876
18391,52.94469357985731
5786,52.04044989039792
18639,51.55646060516751
17984,52.65000687929151
18274,51.929233162689805
5425,52.0087121647594
6076,51.243075439348246
18545,52.265906141956854
17697,62.784910940980645
6137,52.10002191251688
6083,52.077752818966424
17730,52.35514343096753
5896,59.30390084150475
18906,52.242369104896795
17808,52.40892199318629
6078,52.19145236720138
5516,51.51144136202538
18093,52.09508749417553
6120,52.15122947259762
18154,51.96455167775365
17935,51.98634091697856
18769,60.553962106579114
18264,52.27588143025122
18076,49.344687930294214
18035,52.25829664695923
18051,51.790753634550086
18676,52.08434463406074
5332,51.24393694098585
5898,63.146815195920475
18370,52.327894747599004
17706,51.59998649296171
5198,52.508445696563896
18360,51.80033989556953
18240,52.351700285057944
18691,51.628435056602235
5768,52.12400197291874
18315,51.8464501854616
18776,52.17479343105204
6225,52.12779496467567
17983,59.14429502758995
17973,53.08054391261139
5805,51.91185538722736
5500,52.42088905815663
5305,52.46705677494923
18243,52.24620743614394
5169,52.16998597632176
5258,52.1697552763609
17810,61.826614921189446
5714,51.94485320710196
6070,52.76947170930988
5959,61.311107206457294
18771,52.498947483697435
17765,52.56037175222395
18822,51.65645029895766
17735,61.99345595849274
17966,52.16389920137961
18861,51.89755383836674
18236,51.94739030229665
18750,64.85801154955543
17809,56.968449283735225
6049,51.45096652550461
18465,51.33363988958853
6201,52.54997805103224
18877,51.260661293104214
5087,52.243561654858915
17742,52.14429664516987
17941,55.089294356130786
18421,52.18638840630727
18489,51.52734987267006
6299,58.881882041134446
18428,51.19790399035396
5563,55.86759347263162
18796,54.36239978165197
5849,51.93688726707757
5661,51.35895058271376
5893,51.79116043936383
5378,54.75359768337569
5622,51.78712983720006
5823,52.250467371183696
18521,51.24936553421953
5502,52.00000571107707
18785,51.66110567454841
17783,51.817967216677765
18424,57.0046518879887
18147,52.15347656850764
18881,50.02272404377575
18851,51.77980443457989
17686,52.39411136019759
5100,51.48017787394664
5213,51.26108960537459
18252,51.40540624729841
5576,51.820862246338606
18050,52.07229174325343
5875,52.05203323208282
6059,51.66750611834163
18599,51.93717703764552
5173,52.088719963509455
5461,51.954579206268114
5151,60.49506729279325
5266,52.150878642501546
5514,62.76764010639886
5224,51.72409474238002
18069,51.87047580420049
5587,52.23623412917427
17874,52.26042394929882
5536,52.09655747814071
5215,51.79959003233787
5400,57.92880216942479
17857,52.092674986487886
6043,62.35653447771801
18330,51.28982600808237
18333,52.189502890700325
17788,51.047502389381506
18332,56.68180146208859
17836,51.87810783557006
5247,52.102420387636066
5922,51.02585104019616
18641,58.67926878635307
5951,63.374144742880134
18807,50.91664040447533
18293,60.28272335629608
18775,53.12415191689871
5601,52.108050927121916
5102,52.23788019955862
18464,51.55605417496128
17713,52.00382393189326
18557,51.49349447807929
18854,51.51939973982361
18401,51.2453662340371
18699,62.54422246150961
5706,57.65077208763514
5747,51.5272183089336
5496,51.72650341679323
18308,52.103919648950274
5345,56.84271393335685
18525,51.52231684988557
18258,57.21169181133181
6062,51.43242550148336
17921,52.09936167455535
5303,51.110759620275395
18592,51.43735858676517
5814,51.709221892791085
18805,51.94323465622051
5910,51.61003747785916
5201,51.77525891634154
5724,60.09087528001527
17693,51.622528817180154
5407,51.802599983722466
18617,51.94017696820656
18173,52.07961296883201
18875,51.38640816378853
5225,51.845620453218864
5858,51.51799766320471
5091,52.392576886082196
5254,51.96437985326323
18801,51.766785105302375
6009,51.569344253881034
18149,51.23065364419568
6105,52.20397049032878
5974,51.6177257645612
17967,61.21647178740268
5781,51.47583250352247
5834,51.5958344252643
17683,51.38645506715838
5338,51.40273428950544
18400,60.29188426983199
18633,51.94043629981694
